0|72
0.5|72
1|72
1.5|72
2|72
2.5|72
3|72
3.5|72
4|72
4.5|72
5|72
5.5|72
6|72
6.5|72
7|72
7.5|72
8|72
8.5|72
9|72
9.5|72
10|72
10.5|72
11|72
11.5|72
12|72
12.5|72
13|72
13.5|72
14|72
14.5|72
15|72
15.5|72
16|72
16.5|72
17|72
17.5|72
18|72
18.5|72
19|72
19.5|72
20|72
20.5|72
21|72
21.5|72
22|72
22.5|72
23|72
23.5|72
24|72
24.5|72
25|72
25.5|72
26|72
26.5|72
27|72
27.5|72
28|72
28.5|72
29|72
29.5|72
30|72
30.5|72
31|72
31.5|72
32|72
32.5|72
33|72
33.5|72
34|72
34.5|72
35|72
35.5|72
36|72
36.5|72
37|72
37.5|72
38|72
38.5|72
39|72
39.5|72
40|72
40.5|72
41|72
41.5|72
42|72
42.5|72
43|72
43.5|72
44|72
44.5|72
45|72
45.5|72
46|72
46.5|72
47|72
47.5|72
48|72
48.5|72
49|72
49.5|72
50|72
50.5|72
51|72
51.5|72
52|72
52.5|72
53|72
53.5|72
54|72
54.5|72
55|72
55.5|72
56|72
56.5|72
57|72
57.5|72
58|72
58.5|72
59|72
59.5|72
60|72
60.5|72
61|72
61.5|72
62|72
62.5|72
63|72
63.5|72
64|72
64.5|72
65|72
65.5|72
66|72
66.5|72
67|72
67.5|72
68|72
68.5|72
69|72
69.5|72
70|72
70.5|72
71|72
71.5|72
72|72
72.5|72
73|72
73.5|72
74|72
74.5|72
75|72
75.5|72
76|72
76.5|72
77|72
77.5|72
78|72
78.5|72
79|72
79.5|72
80|72
80.5|72
81|72
81.5|72
82|72
82.5|72
83|72
83.5|72
84|72
84.5|72
85|72
85.5|72
86|72
86.5|72
87|72
87.5|72
88|72
88.5|72
89|72
89.5|72
90|72
90.5|72
91|72
91.5|72
92|72
92.5|72
93|72
93.5|72
94|72
94.5|72
95|72
95.5|72
96|72
96.5|72
97|72
97.5|72
98|72
98.5|72
99|72
99.5|72
100|72
100.5|72
101|72
101.5|72
102|72
102.5|72
103|72
103.5|72
104|72
104.5|72
105|72
105.5|72
106|72
106.5|72
107|72
107.5|72
108|72
108.5|72
109|72
109.5|72
110|72
110.5|72
111|72
111.5|72
112|72
112.5|72
113|72
113.5|72
114|72
114.5|72
115|72
115.5|72
116|72
116.5|72
117|72
117.5|72
118|72
118.5|72
119|72
119.5|72
120|72
120.5|72
121|72
121.5|72
122|72
122.5|72
123|72
123.5|72
124|72
124.5|72
125|72
125.5|72
126|72
126.5|72
127|72
127.5|72
128|72
128.5|72
129|72
129.5|72
130|72
130.5|72
131|72
131.5|72
132|72
132.5|72
133|72
133.5|72
134|72
134.5|72
135|72
135.5|72
136|72
136.5|72
137|72
137.5|72
138|72
138.5|72
139|72
139.5|72
140|72
140.5|72
141|72
141.5|72
142|72
142.5|72
143|72
143.5|72
144|72
144.5|72
145|72
145.5|72
146|72
146.5|72
147|72
147.5|72
148|72
148.5|72
149|72
149.5|72
150|72
150.5|72
151|72
151.5|72
152|72
152.5|72
153|72
153.5|72
154|72
154.5|72
155|72
155.5|72
156|72
156.5|72
157|72
157.5|72
158|72
158.5|72
159|72
159.5|72
160|72
160.5|72
161|72
161.5|72
162|72
162.5|72
163|72
163.5|72
164|72
